#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:014		001:001		"//% keywords:\n"
1		Comment		Comment		014:070		002:001		"//%   bracket: [\"(\", \")\", \"[\", \"]\", \"{\", \"}\", \"<\", \">\"]\n"
2		Comment		Comment		070:097		003:001		"//%   line_comment: [\"//\"]\n"
3		Space		Unknown		097:098		004:001		"\n"
4		Keyword		Braces		098:100		005:001		"{"		close:Token(5)
5		Keyword		Braces		098:100		005:001		"}"		open:Token(4)
6		Space		Unknown		100:101		005:003		" "
7		Keyword		Brackets		101:103		005:004		"["		close:Token(8)
8		Keyword		Brackets		101:103		005:004		"]"		open:Token(7)
9		Space		Unknown		103:104		005:006		" "
10		Keyword		Parens		104:106		005:007		"("		close:Token(11)
11		Keyword		Parens		104:106		005:007		")"		open:Token(10)
12		Space		Unknown		106:107		005:009		" "
13		Keyword		Angles		107:109		005:010		"<"		close:Token(14)
14		Keyword		Angles		107:109		005:010		">"		open:Token(13)
15		Space		Unknown		109:110		005:012		"\n"
16		Keyword		Braces		110:174		006:001		"{"		close:Token(30)
17		Space		Unknown		111:116		006:002		"\n    "
18		Keyword		Braces		116:172		007:005		"{"		close:Token(28)
19		Space		Unknown		117:126		007:006		"\n        "
20		Keyword		Brackets		126:166		008:009		"["		close:Token(26)
21		Space		Unknown		127:140		008:010		"\n            "
22		Keyword		Angles		140:156		009:013		"<"		close:Token(24)
23		Space		Unknown		141:155		009:014		"\n\n            "
24		Keyword		Angles		140:156		009:013		">"		open:Token(22)
25		Space		Unknown		156:165		011:014		"\n        "
26		Keyword		Brackets		126:166		008:009		"]"		open:Token(20)
27		Space		Unknown		166:171		012:010		"\n    "
28		Keyword		Braces		116:172		007:005		"}"		open:Token(18)
29		Space		Unknown		172:173		013:006		"\n"
30		Keyword		Braces		110:174		006:001		"}"		open:Token(16)
31		Space		Unknown		174:175		014:002		"\n"
32		Keyword		Angles		175:189		015:001		"<"		close:Token(45)
33		Keyword		Angles		176:188		015:002		"<"		close:Token(44)
34		Keyword		Angles		177:187		015:003		"<"		close:Token(43)
35		Keyword		Angles		178:186		015:004		"<"		close:Token(42)
36		Keyword		Parens		179:185		015:005		"("		close:Token(41)
37		Keyword		Parens		180:184		015:006		"("		close:Token(40)
38		Keyword		Parens		181:183		015:007		"("		close:Token(39)
39		Keyword		Parens		181:183		015:007		")"		open:Token(38)
40		Keyword		Parens		180:184		015:006		")"		open:Token(37)
41		Keyword		Parens		179:185		015:005		")"		open:Token(36)
42		Keyword		Angles		178:186		015:004		">"		open:Token(35)
43		Keyword		Angles		177:187		015:003		">"		open:Token(34)
44		Keyword		Angles		176:188		015:002		">"		open:Token(33)
45		Keyword		Angles		175:189		015:001		">"		open:Token(32)
