#		kind		keyword		offsets		linecol		text
0		Comment		Comment		000:045		001:001		"// Copyright 2020-2024 Buf Technologies, Inc."
1		Space		Unknown		045:046		001:046		"\n"
2		Comment		Comment		046:048		002:001		"//"
3		Space		Unknown		048:049		002:003		"\n"
4		Comment		Comment		049:115		003:001		"// Licensed under the Apache License, Version 2.0 (the \"License\");"
5		Space		Unknown		115:116		003:067		"\n"
6		Comment		Comment		116:183		004:001		"// you may not use this file except in compliance with the License."
7		Space		Unknown		183:184		004:068		"\n"
8		Comment		Comment		184:226		005:001		"// You may obtain a copy of the License at"
9		Space		Unknown		226:227		005:043		"\n"
10		Comment		Comment		227:229		006:001		"//"
11		Space		Unknown		229:230		006:003		"\n"
12		Comment		Comment		230:280		007:001		"//      http://www.apache.org/licenses/LICENSE-2.0"
13		Space		Unknown		280:281		007:051		"\n"
14		Comment		Comment		281:283		008:001		"//"
15		Space		Unknown		283:284		008:003		"\n"
16		Comment		Comment		284:354		009:001		"// Unless required by applicable law or agreed to in writing, software"
17		Space		Unknown		354:355		009:071		"\n"
18		Comment		Comment		355:423		010:001		"// distributed under the License is distributed on an \"AS IS\" BASIS,"
19		Space		Unknown		423:424		010:069		"\n"
20		Comment		Comment		424:499		011:001		"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
21		Space		Unknown		499:500		011:076		"\n"
22		Comment		Comment		500:570		012:001		"// See the License for the specific language governing permissions and"
23		Space		Unknown		570:571		012:071		"\n"
24		Comment		Comment		571:604		013:001		"// limitations under the License."
25		Space		Unknown		604:605		013:034		"\n"
26		Space		Unknown		605:606		014:001		"\n"
27		Comment		Comment		606:619		015:001		"//% keywords:"
28		Space		Unknown		619:620		015:014		"\n"
29		Comment		Comment		620:673		016:001		"//%   soft: [syntax, package, message, int64, string]"
30		Space		Unknown		673:674		016:054		"\n"
31		Comment		Comment		674:706		017:001		"//%   hard: [\"=\", \".\", \";\", \",\"]"
32		Space		Unknown		706:707		017:033		"\n"
33		Comment		Comment		707:752		018:001		"//%   bracket: [\"(\", \")\", \"[\", \"]\", \"{\", \"}\"]"
34		Space		Unknown		752:753		018:046		"\n"
35		Comment		Comment		753:779		019:001		"//%   line_comment: [\"//\"]"
36		Space		Unknown		779:780		019:027		"\n"
37		Ident		Syntax		780:786		020:001		"syntax"
38		Space		Unknown		786:787		020:007		" "
39		Keyword		Assign		787:788		020:008		"="
40		Space		Unknown		788:789		020:009		" "
41		String		Unknown		789:797		020:010		"\"proto3\""		string:"proto3"
42		Keyword		Semi		797:798		020:018		";"
43		Space		Unknown		798:799		020:019		"\n"
44		Space		Unknown		799:800		021:001		"\n"
45		Ident		Package		800:807		022:001		"package"
46		Space		Unknown		807:808		022:008		" "
47		Ident		Unknown		808:811		022:009		"foo"
48		Keyword		Dot		811:812		022:012		"."
49		Ident		Unknown		812:815		022:013		"bar"
50		Keyword		Semi		815:816		022:016		";"
51		Space		Unknown		816:817		022:017		"\n"
52		Space		Unknown		817:818		023:001		"\n"
53		Comment		Comment		818:843		024:001		"// This is a doc comment."
54		Space		Unknown		843:844		024:026		"\n"
55		Ident		Message		844:851		025:001		"message"
56		Space		Unknown		851:852		025:008		" "
57		Ident		Unknown		852:855		025:009		"Foo"
58		Space		Unknown		855:856		025:012		" "
59		Keyword		Braces		856:960		025:013		"{"		close:Token(107)
60		Space		Unknown		857:858		025:014		"\n"
61		Space		Unknown		858:862		026:001		"    "
62		Ident		Int64		862:867		026:005		"int64"
63		Space		Unknown		867:868		026:010		" "
64		Ident		Unknown		868:869		026:011		"x"
65		Space		Unknown		869:870		026:012		" "
66		Keyword		Assign		870:871		026:013		"="
67		Space		Unknown		871:872		026:014		" "
68		Number		Unknown		872:873		026:015		"1"		int:1/10/1
69		Keyword		Semi		873:874		026:016		";"
70		Space		Unknown		874:875		026:017		"\n"
71		Space		Unknown		875:879		027:001		"    "
72		Ident		String		879:885		027:005		"string"
73		Space		Unknown		885:886		027:011		" "
74		Ident		Unknown		886:887		027:012		"y"
75		Space		Unknown		887:888		027:013		" "
76		Keyword		Assign		888:889		027:014		"="
77		Space		Unknown		889:890		027:015		" "
78		Number		Unknown		890:891		027:016		"2"		int:2/10/1
79		Space		Unknown		891:892		027:017		" "
80		Keyword		Brackets		892:957		027:018		"["		close:Token(104)
81		Space		Unknown		893:894		027:019		"\n"
82		Space		Unknown		894:902		028:001		"        "
83		Keyword		Parens		902:913		028:009		"("		close:Token(87)
84		Ident		Unknown		903:905		028:010		"my"
85		Keyword		Dot		905:906		028:012		"."
86		Ident		Unknown		906:912		028:013		"option"
87		Keyword		Parens		902:913		028:009		")"		open:Token(83)
88		Keyword		Dot		913:914		028:020		"."
89		Ident		Unknown		914:919		028:021		"thing"
90		Space		Unknown		919:920		028:026		" "
91		Keyword		Assign		920:921		028:027		"="
92		Space		Unknown		921:922		028:028		" "
93		Number		Unknown		922:926		028:029		"0xff"		int:255/16/1		pre:"0x"
94		Keyword		Comma		926:927		028:033		","
95		Space		Unknown		927:928		028:034		"\n"
96		Space		Unknown		928:936		029:001		"        "
97		Ident		Unknown		936:940		029:009		"blah"
98		Space		Unknown		940:941		029:013		" "
99		Keyword		Assign		941:942		029:014		"="
100		Space		Unknown		942:943		029:015		" "
101		String		Unknown		943:951		029:016		"\"\\0\\n\\t\""		string:"\x00\n\t"
102		Space		Unknown		951:952		029:024		"\n"
103		Space		Unknown		952:956		030:001		"    "
104		Keyword		Brackets		892:957		027:018		"]"		open:Token(80)
105		Keyword		Semi		957:958		030:006		";"
106		Space		Unknown		958:959		030:007		"\n"
107		Keyword		Braces		856:960		025:013		"}"		open:Token(59)
